filename,has_face
0_Parade_marchingband_1_20.jpg,1
0_Parade_marchingband_1_78.jpg,1
0_Parade_marchingband_1_353.jpg,1
0_Parade_marchingband_1_822.jpg,1
0_Parade_Parade_0_275.jpg,0
1_Handshaking_Handshaking_1_209.jpg,1
4_Dancing_Dancing_4_224.jpg,1
5_Car_Accident_Accident_5_234.jpg,1
8_Election_Campain_Election_Campaign_8_412.jpg,1
9_Press_Conference_Press_Conference_9_375.jpg,1
11_Meeting_Meeting_11_Meeting_Meeting_11_71.jpg,1
12_Group_Group_12_Group_Group_12_28.jpg,1
12_Group_Group_12_Group_Group_12_179.jpg,1
14_Traffic_Traffic_14_55.jpg,0
15_Stock_Market_Stock_Market_15_241.jpg,1
17_Ceremony_Ceremony_17_171.jpg,1
19_Couple_Couple_19_90.jpg,1
24_Soldier_Firing_Soldier_Firing_24_95.jpg,0
32_Worker_Laborer_Worker_Laborer_32_44.jpg,1
33_Running_Running_33_209.jpg,1
33_Running_Running_33_586.jpg,1
39_Ice_Skating_Ice_Skating_39_344.jpg,1
39_Ice_Skating_Ice_Skating_39_463.jpg,0
39_Ice_Skating_Ice_Skating_39_661.jpg,1
39_Ice_Skating_iceskiing_39_272.jpg,1
44_Aerobics_Aerobics_44_173.jpg,1
58_Hockey_icehockey_puck_58_455.jpg,1
61_Street_Battle_streetfight_61_162.jpg,1
